Sample_code;Project;Cruise_year;Cruise_number;Station_event_code;Station_number;Sampling_tool;Sampling_tool_serial_id;Core_code;Slice_interval_from_cm;Slice_interval_to_cm;Longitude;Latitude;Position_info;Depth;Batch_code;Microplastic_particles_#/kg;Microplastic_concentration_µg/kg
2011113R739MC19E_00-03;Mareano (2006- );2011;113;R739MC19;R739;MC;19;E;0;3;11.158825;67.795645;2;-263.85;2017-43;84;84
2012106R769MC01E_00-03;Mareano (2006- );2012;106;R769MC01;R769;MC;01;E;0;3;10.0715;68.3473;2;-1963.94;2017-43;74;391
2012110R1070BC45E_00-03;Mareano (2006- );2012;110;R1070BC45;R1070;BC;45;E;0;3;6.4967;62.6925;2;-101.91;2017-43;255;291
2013112R1271MC21E_00-03;Mareano (2006- );2013;112;R1271MC21;R1271;MC;21;E;0;3;5.0940;63.3120;2;-1059.58;2017-43;207;304
2013205R1096MC02C_00-03;Mareano (2006- );2013;205;R1096MC02;R1096;MC;02;C;0;3;6.514972;65.947170;2;-361.38;2017-43;23;23
2014106R1225MC38E_00-03;Mareano (2006- );2014;106;R1225MC38;R1225;MC;38;E;0;3;31.724333;70.474327;2;-399.56;2017-43;26;55
2014106R1298MC37E_00-03;Mareano (2006- );2014;106;R1298MC37;R1298;MC;37;E;0;3;30.918217;69.898277;2;-314.22;2017-43;44;59
2014208R1350MC417E_00-03;Mareano (2006- );2014;208;R1350MC417;R1350;MC;417;E;0;3;5.500603;63.632133;2;-966.31;2017-43;290;362
2015113R1513BC110C_00-02;Mareano (2006- );2015;113;R1513BC110;R1513;BC;110;C;0;2;5.5623;65.0670;2;-604.82;2017-43;73;151
2015113R1569M98C_00-03;Mareano (2006- );2015;113;R1569MC98;R1569;MC;98;C;0;3;7.8902;66.8412;2;-732.60;2017-43;97;178
2018109R1846MC14E_00-02;Mareano (2006- );2018;109;R1846MC14;R1846;MC;14;E;0;2;11.707473;78.984802;2;-311.42;2019-27;226;
2018109R1865MC15E_00-02;Mareano (2006- );2018;109;R1865MC15;R1865;MC;15;E;0;2;11.648237;79.104835;2;-274.63;2019-27;65;
2018109R1869MC16D_00-02;Mareano (2006- );2018;109;R1869MC16;R1869;MC;16;D;0;2;11.415295;79.019805;2;-345.53;2019-27;;
2018109R1872MC19D_00-02;Mareano (2006- );2018;109;R1872MC19;R1872;MC;19;D;0;2;22.253297;80.039603;2;-144.65;2019-27;303;
2018109R1878MC21E_00-02;Mareano (2006- );2018;109;R1878MC21;R1878;MC;21;E;0;2;22.153505;80.091957;2;-212.87;2019-27;196;
2018109R1887MC23E_00-02;Mareano (2006- );2018;109;R1887MC23;R1887;MC;23;E;0;2;22.134463;80.171500;2;-208.00;2019-27;560;
2019103R1951MC01F_00-02;Mareano (2006- );2019;106;R1951MC01;R1951;MC;01;F;0;2;18.567573;74.787690;2;-246.26;2019-27;46;
2019103R1965MC02E_00-02;Mareano (2006- );2019;106;R1965MC02;R1965;MC;02;E;0;2;17.637309;74.807723;2;-301.84;2019-27;322;
2019103R1994MC03F_00-02;Mareano (2006- );2019;106;R1994MC03;R1994;MC;03;F;0;2;14.608752;74.929730;2;-1477.45;2019-27;61;
2019103R1998MC04F_00-02;Mareano (2006- );2019;106;R1998MC04;R1998;MC;04;F;0;2;13.520514;74.802458;2;-2089.10;2019-27;431;
2020104R2132MC06F_0-2;Mareano (2006- );2020;104;R2132MC06;R2132;MC;06;F;0;2;7.571268;63.884697;2;-235.61;2021-28;194;
2020104R2139MC08F_0-2;Mareano (2006- );2020;104;R2139MC08;R2139;MC;08;F;0;2;7.355115;64.195273;2;-332.41;2021-28;2187;
2020104R2183MC09F_0-2;Mareano (2006- );2020;104;R2183MC09;R2183;MC;09;F;0;2;8.405017;64.280058;2;-356.67;2021-28;1369;
2020104R2229MC10F_0-2;Mareano (2006- );2020;104;R2229MC10;R2229;MC;10;F;0;2;8.220127;64.713538;2;-237.98;2021-28;692;
2020110R2242MC12F_0-2;Mareano (2006- );2020;110;R2242MC12;R2242;MC;12;F;0;2;10.430767;66.830230;2;-400.05;2021-28;51;
2020110R2270MC13F_0-2;Mareano (2006- );2020;110;R2270MC13;R2270;MC;13;F;0;2;10.479608;66.231643;2;-293.51;2021-28;867;
2020110R2276MC14F_0-2;Mareano (2006- );2020;110;R2276MC14;R2276;MC;14;F;0;2;10.177088;65.679275;2;-395.79;2021-28;666;
2020110R2289MC15F_0-2;Mareano (2006- );2020;110;R2289MC15;R2289;MC;15;F;0;2;10.429367;65.567435;2;-410.77;2021-28;52;
2020110R2331MC16F_0-2;Mareano (2006- );2020;110;R2331MC16;R2331;MC;16;F;0;2;9.271890;65.481322;2;-368.30;2021-28;94;
2020110R2338MC17E_0-2;Mareano (2006- );2020;110;R2338MC17;R2338;MC;17;E;0;2;9.076887;65.716957;2;-448.96;2021-28;301;
2020110R2363MC19E_0-1;Mareano (2006- );2020;110;R2363MC19;R2363;MC;19;E;0;2;8.044052;65.507643;2;-372.93;2021-28;992;
2021103R2373MC01F_0-2;Mareano (2006- );2021;103;R2373MC01;R2373;MC;01;F;0;2;5.759125;61.136023;2;-1258.74;2022-23;435;
2021103R2389MC02E_0-2;Mareano (2006- );2021;103;R2389MC02;R2389;MC;02;E;0;2;7.447067;65.114103;1;-333.00;2022-23;33;
2021103R2401MC03F_0-2;Mareano (2006- );2021;103;R2401MC03;R2401;MC;03;F;0;2;7.418760;65.330339;1;-345.27;2022-23;125;
2021103R2418MC04E_0-2;Mareano (2006- );2021;103;R2418MC04;R2418;MC;04;E;0;2;6.730117;65.448856;1;-381.95;2022-23;112;
2021103R2438MC05E_0-2;Mareano (2006- );2021;103;R2438MC05;R2438;MC;05;E;0;2;6.488002;65.358463;1;-419.00;2022-23;131;
2021103R2454MC06E_0-2;Mareano (2006- );2021;103;R2454MC06;R2454;MC;06;E;0;2;6.350495;65.025360;2;-409.22;2022-23;0;
2021103R2486MC07E_0-2;Mareano (2006- );2021;103;R2486MC07;R2486;MC;07;E;0;2;2.317328;62.838693;1;-776.97;2022-23;341;
2021104R2524MC08E_0-2;Mareano (2006- );2021;104;R2524MC08;R2524;MC;08;E;0;2;1.588881;62.633123;1;-744.33;2022-23;90;
2021104R2558MC09F_0-2;Mareano (2006- );2021;104;R2558MC09;R2558;MC;09;F;0;2;4.889532;64.608810;1;-1034.50;2022-23;70;
2021104R2561MC11F_0-2;Mareano (2006- );2021;104;R2561MC11;R2561;MC;11;F;0;2;5.191574;64.554072;1;-1021.99;2022-23;114;
2021104R2596MC12E_0-2;Mareano (2006- );2021;104;R2596MC12;R2596;MC;12;E;0;2;9.335950;64.520455;1;-293.50;2022-23;56;
2021104R2608MC13E_0-2;Mareano (2006- );2021;104;R2608MC13;R2608;MC;13;E;0;2;9.819355;64.592550;1;-447.00;2022-23;114;
2021104R2651MC14E_0-2;Mareano (2006- );2021;104;R2651MC14;R2651;MC;14;E;0;2;10.818869;65.680880;1;-383.50;2022-23;46;
2021104R2669MC15E_0-2;Mareano (2006- );2021;104;R2669MC15;R2669;MC;15;E;0;2;11.976902;66.732269;1;-333.00;2022-23;0;
2021115R2736MC16E_0-2;Mareano (2006- );2021;115;R2736MC16;R2736;MC;16;E;0;2;28.250434;75.155606;1;-329.55;2022-23;184;
2021115R2770MC17E_0-2;Mareano (2006- );2021;115;R2770MC17;R2770;MC;17;E;0;2;27.159675;75.124801;1;-260.09;2022-23;169;
2021115R2869MC19E_0-2;Mareano (2006- );2021;115;R2869MC19;R2869;MC;19;E;0;2;21.861537;74.192101;1;-303.92;2022-23;161;
