水质指标,离岸距离,平均值
pH值,0-10km,8.162
pH值,10-20km,8.155654205607476
pH值,20-30km,8.12518883415435
pH值,30-50km,8.11036307053942
pH值,50-75km,8.103559539052497
pH值,75-100km,8.115
pH值,100-150km,8.123811394891947
pH值,150km+,8.078154506437768
溶解氧_mg_L,0-10km,8.886666666666667
溶解氧_mg_L,10-20km,8.694205607476635
溶解氧_mg_L,20-30km,8.294926108374383
溶解氧_mg_L,30-50km,8.270746887966805
溶解氧_mg_L,50-75km,6.622407170294495
溶解氧_mg_L,75-100km,6.699864864864864
溶解氧_mg_L,100-150km,6.43943025540275
溶解氧_mg_L,150km+,8.513390557939914
化学需氧量_mg_L,0-10km,1.4179222222222223
化学需氧量_mg_L,10-20km,1.435752336448598
化学需氧量_mg_L,20-30km,1.246190476190476
化学需氧量_mg_L,30-50km,1.2125477178423236
化学需氧量_mg_L,50-75km,1.0628719590268885
化学需氧量_mg_L,75-100km,1.0872702702702703
化学需氧量_mg_L,100-150km,1.3389115913555991
化学需氧量_mg_L,150km+,2.0657081545064377
无机氮_mg_L,0-10km,0.25508888888888887
无机氮_mg_L,10-20km,0.23542289719626167
无机氮_mg_L,20-30km,0.2021215106732348
无机氮_mg_L,30-50km,0.2245072614107884
无机氮_mg_L,50-75km,0.11804865556978232
无机氮_mg_L,75-100km,0.11399459459459459
无机氮_mg_L,100-150km,0.21677799607072692
无机氮_mg_L,150km+,0.6731888412017167
活性磷酸盐_mg_L,0-10km,0.006905555555555556
活性磷酸盐_mg_L,10-20km,0.007457943925233646
活性磷酸盐_mg_L,20-30km,0.005632183908045978
活性磷酸盐_mg_L,30-50km,0.007383817427385892
活性磷酸盐_mg_L,50-75km,0.006868117797695262
活性磷酸盐_mg_L,75-100km,0.006618918918918918
活性磷酸盐_mg_L,100-150km,0.007583497053045186
活性磷酸盐_mg_L,150km+,0.020793991416309013
石油类_mg_L,0-10km,0.011266666666666666
石油类_mg_L,10-20km,0.012009345794392523
石油类_mg_L,20-30km,0.01080952380952381
石油类_mg_L,30-50km,0.011458506224066389
石油类_mg_L,50-75km,0.01119078104993598
石油类_mg_L,75-100km,0.00982972972972973
石油类_mg_L,100-150km,0.013100196463654224
石油类_mg_L,150km+,0.021257510729613734
